collage_name,city,state,level,colllage_type,basic,student_count,awards_per_100_value,awards_per_state_value,spent_award_value,spent_award_state_value,exp_award_percentile,fulltime_student_per,fulltime_student,med_sat_value,med_sat_percentile,aid_value,aid_percentile,endow_value,endow_percentile,on_time_graduate,on_time_graduate_percentile,late_graduate,late_graduate_percentile,pell_value,pell_percentile,retain_value,retain_percentile,ft_fac_value,ft_fac_percentile,vsa_year,vsa_grad_after4_first,vsa_grad_elsewhere_after4_first,vsa_enroll_after4_first,vsa_enroll_elsewhere_after4_first,vsa_grad_after6_first,vsa_grad_elsewhere_after6_first,vsa_enroll_after6_first,vsa_enroll_elsewhere_after6_first,vsa_grad_after4_transfer,vsa_grad_elsewhere_after4_transfer,vsa_enroll_after4_transfer,vsa_enroll_elsewhere_after4_transfer,vsa_grad_after6_transfer,vsa_grad_elsewhere_after6_transfer,vsa_enroll_after6_transfer,vsa_enroll_elsewhere_after6_transfer,state_sector_ct,percentage
Northern Illinois University,Dekalb,Illinois,4-year,Public,Research Universities--high research activity,15814,25.6,24.3,66633,90406,64,87.4,14566,1010,43,7741,80,3355,41,26.5,61,51,61,43,66,66.5,25,79.1,82,2010,27.3,4.3,36.4,17.6,56.2,10.1,4.1,9.8,64.8,7.7,5.9,7.3,69.3,11,1.1,4.3,11,55.8
Northwestern College (Ill.),Chicago,Illinois,2-year,Private for-profit,Associates--Private For-profit,430,19.6,34.4,130852,27386,98,54.7,429,,,4280,49,,,34,45,34,13,86.5,84,35.4,5,31.5,36,,,,,,,,,,,,,,,,,,11,50.3
Northwestern University,Evanston,Illinois,4-year,Private not-for-profit,Research Universities--very high research activity,9283,26.5,24.2,196554,99440,94,91.4,9017,1458,99,29460,94,330031,96,86.2,96,94.2,98,14.2,5,97.7,98,89.4,91,,,,,,,,,,,,,,,,,,50,89.6
Northeastern Illinois University,Chicago,Illinois,4-year,Public,Masters Colleges and Universities--larger programs,8950,23.8,24.3,68211,90406,67,56.6,6849,890,7,5805,44,788,8,4.1,2,20.3,5,48.2,79,61,14,61.7,47,,,,,,,,,,,,,,,,,,11,40.9
Oakton Community College,Des Plaines,Illinois,2-year,Public,Associates--Public Suburban-serving Multicampus,10866,8.8,14.6,61834,33727,87,27.4,7271,,,3129,20,,,4.7,20,14.4,27,19.5,5,71.3,92,22.3,17,,,,,,,,,,,,,,,,,,48,27.9
Olivet Nazarene University,Bourbonnais,Illinois,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,3335,22.6,24.2,46132,99440,16,87.1,3347,1105,66,16403,64,4882,17,48.9,60,56.8,53,31.6,37,75.4,50,30.9,20,,,,,,,,,,,,,,,,,,50,67.4
Parkland College,Champaign,Illinois,2-year,Public,Associates--Public Rural-serving Large,8437,12.1,14.6,52012,33727,76,37.3,7326,,,4275,60,757,49,6.8,34,16.3,34,35.2,33,53.6,31,35.4,58,,,,,,,,,,,,,,,,,,48,28.4
Prairie State College,Chicago Heights,Illinois,2-year,Public,Associates--Public Suburban-serving Single Campus,5064,9.8,14.6,39197,33727,50,39.4,4050,,,5030,82,174,16,3.8,14,12.9,21,43.3,54,46.1,9,23.1,19,,,,,,,,,,,,,,,,,,48,44.6
Quincy University,Quincy,Illinois,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs,1196,19.9,24.2,65374,99440,37,90.5,1193,1048,47,18055,72,11632,38,39.3,45,50.4,41,43.1,63,67.2,28,44.1,38,,,,,,,,,,,,,,,,,,50,66.3
Vatterott College-Quincy,Quincy,Illinois,2-year,Private for-profit,Associates--Private For-profit,200,45,34.4,11358,27386,17,100,310,,,3922,30,,,45,57,46.6,24,25.7,2,73.9,67,38.9,48,,,,,,,,,,,,,,,,,,11,
Illinois Institute of Art at Chicago,Chicago,Illinois,4-year,Private for-profit,Schools of art- music- and design,2322,18.9,28.6,95759,40421,89,76.2,2419,,,5461,83,,,20.2,50,26.5,54,57.9,25,49.8,38,26.2,69,,,,,,,,,,,,,,,,,,19,35.1
Rend Lake College,Ina,Illinois,2-year,Public,Associates--Public Rural-serving Large,2714,30.9,14.6,17009,33727,6,54.5,2778,,,5385,86,767,50,41.6,97,51.2,97,30.4,21,59,56,31.5,47,,,,,,,,,,,,,,,,,,48,34.9
Richland Community College,Decatur,Illinois,2-year,Public,Associates--Public Rural-serving Medium,3340,28.6,14.6,27701,33727,22,31.8,2434,,,3168,21,6720,97,14.1,69,21.1,53,41.2,48,64.8,80,34,54,,,,,,,,,,,,,,,,,,48,22.9
Robert Morris University Illinois,Chicago,Illinois,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs,2781,42.5,24.2,47774,99440,17,95.3,3546,,,13188,46,13240,41,76.4,91,80,88,62.2,88,47.2,4,52.4,50,,,,,,,,,,,,,,,,,,50,61
Rock Valley College,Rockford,Illinois,2-year,Public,Associates--Public Rural-serving Large,8150,18,14.6,31598,33727,32,44.8,6269,,,4789,75,811,51,4.7,20,22.1,56,35.6,34,66.1,83,36,60,,,,,,,,,,,,,,,,,,48,49.8
Rockford Career College,Rockford,Illinois,2-year,Private for-profit,Associates--Private For-profit,484,27.6,34.4,24862,27386,55,44.2,546,,,1362,1,,,11.7,13,29.8,9,74.1,60,46.2,10,33.3,39,,,,,,,,,,,,,,,,,,11,63.8
Rockford College,Rockford,Illinois,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,972,25.3,24.2,59657,99440,31,86.2,942,1029,39,12062,40,10037,33,24.6,20,39.5,21,52.7,80,58.1,13,43.4,37,,,,,,,,,,,,,,,,,,50,44.4
Roosevelt University,Chicago,Illinois,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,3658,30.1,24.2,59316,99440,30,74.7,3073,1035,42,11883,39,16852,48,27,23,41.4,24,42.1,60,58.3,13,35.3,26,,,,,,,,,,,,,,,,,,50,24.3
Dominican University,River Forest,Illinois,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,2069,21.5,24.2,51402,99440,22,92.2,1861,1031,41,11317,35,8035,26,50.3,63,63.1,66,44,65,82.5,71,42.1,35,,,,,,,,,,,,,,,,,,50,72
University of St. Francis (Ill.),Joliet,Illinois,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,1780,26.4,24.2,42173,99440,13,78.8,1543,1070,55,13193,46,5868,20,31.8,33,56.6,53,36.5,48,79.1,62,31.1,20,,,,,,,,,,,,,,,,,,50,41.2
Saint Xavier University,Chicago,Illinois,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,2920,25.7,24.2,53696,99440,25,84,2594,1010,32,14981,56,2896,10,30,28,47.1,35,48.8,74,75.5,51,42.6,36,,,,,,,,,,,,,,,,,,50,67.5
University of Illinois at Springfield,Springfield,Illinois,4-year,Public,Masters Colleges and Universities--larger programs,3039,28.1,24.3,54990,90406,45,64.8,2436,1085,71,6905,68,3068,39,28.5,66,43.1,42,36.8,45,74.3,51,59.5,43,2009,47,7.8,25.2,15.7,67,14.8,1.7,6.1,62.9,3.8,7.7,6.1,67.5,6.4,1,3.8,11,28.6
Sauk Valley Community College,Dixon,Illinois,2-year,Public,Associates--Public Rural-serving Medium,2220,17.5,14.6,21812,33727,10,45,1719,,,3481,31,1138,61,19.8,84,29,78,42.8,52,65.2,81,30.3,43,,,,,,,,,,,,,,,,,,48,41.8
Shawnee Community College,Ullin,Illinois,2-year,Public,Associates--Public Rural-serving Large,1834,18.7,14.6,29969,33727,28,47.4,1787,,,2415,6,494,40,15.9,74,28,75,39,43,38.7,2,25,25,,,,,,,,,,,,,,,,,,48,40.1
Shimer College,Chicago,Illinois,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,97,17.6,24.2,104227,99440,71,81.4,109,,,13278,47,8109,27,50,62,60,60,47.3,71,85.7,78,91.7,92,,,,,,,,,,,,,,,,,,50,55.6
St. Augustine College (Ill.),Chicago,Illinois,4-year,Private not-for-profit,Associates--Private Not-for-profit 4-year Primarily Associates,1607,31.7,24.2,22531,99440,3,71.1,1176,,,7003,16,590,3,,,,,80.4,96,,,14.9,4,,,,,,,,,,,,,,,,,,50,86.1
Southeastern Illinois College,Harrisburg,Illinois,2-year,Public,Associates--Public Rural-serving Large,1930,19.7,14.6,33619,33727,37,42,1473,,,2300,5,2132,78,11.1,58,23.9,63,41.9,50,60.4,62,35.5,58,,,,,,,,,,,,,,,,,,48,14.1
Spoon River College,Canton,Illinois,2-year,Public,Associates--Public Rural-serving Medium,1784,21.6,14.6,37288,33727,45,40,1118,,,3943,50,1312,65,10.8,57,22.1,56,33.2,28,59.3,58,33.7,53,,,,,,,,,,,,,,,,,,48,24.6
Southern Illinois University at Carbondale,Carbondale,Illinois,4-year,Public,Research Universities--high research activity,13306,32.2,24.3,105932,90406,91,88.7,11780,1032,56,8797,88,6447,65,23.4,54,44,44,43.3,67,60.4,12,87.3,95,2010,25.9,3.7,29.2,21.6,45.7,10.9,4.2,12.6,69.1,3.6,7.5,6.5,73.7,4.8,1.6,5.3,11,49.8
Southern Illinois University at Edwardsville,Edwardsville,Illinois,4-year,Public,Masters Colleges and Universities--larger programs,11229,21.1,24.3,80032,90406,79,85.1,10364,1050,59,6099,51,1512,18,27.8,65,50.4,58,35.6,41,69.3,35,69.3,64,2010,28.7,4.5,33.4,18.4,52.2,12.9,6.8,9.4,52.1,7.5,11.6,9.7,59,11.6,2.7,7.9,11,59.8
Taylor Business Institute (Ill.),Chicago,Illinois,2-year,Private for-profit,Associates--Private For-profit,257,11.2,34.4,85675,27386,97,100,401,,,6750,92,,,0,0,50.8,29,88.6,89,64,39,25,26,,,,,,,,,,,,,,,,,,11,
South Suburban College of Cook County,South Holland,Illinois,2-year,Public,Associates--Public Suburban-serving Single Campus,5212,9,14.6,97274,33727,97,40,3972,,,1510,1,,,11,57,21.5,55,58.8,87,50.8,20,33.9,53,,,,,,,,,,,,,,,,,,48,20.8
Trinity Christian College,Palos Heights,Illinois,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,1333,24,24.2,74153,99440,47,83,1185,1053,49,10092,29,7214,24,48.5,60,58.2,57,34.1,43,74.3,47,56.9,56,,,,,,,,,,,,,,,,,,50,49.2
Trinity International University,Deerfield,Illinois,4-year,Private not-for-profit,Doctoral/Research Universities,906,19.6,24.2,66975,99440,39,82.1,852,1049,48,13836,50,27947,63,35.2,38,45.5,32,48,72,69.4,33,21.7,9,,,,,,,,,,,,,,,,,,50,50
Triton College,River Grove,Illinois,2-year,Public,Associates--Public Suburban-serving Single Campus,11225,12.1,14.6,47677,33727,68,31.7,8817,,,3825,43,,,5.4,27,14.7,28,27.4,16,49.5,17,13.2,2,,,,,,,,,,,,,,,,,,48,34.2
VanderCook College of Music,Chicago,Illinois,4-year,Private not-for-profit,Schools of art- music- and design,133,17.9,24.2,59270,99440,30,74.4,129,,,10481,31,,,38.5,43,69.2,76,40.3,57,70.8,37,100,95,,,,,,,,,,,,,,,,,,50,38.2
Waubonsee Community College,Sugar Grove,Illinois,2-year,Public,Associates--Public Suburban-serving Single Campus,10721,14.5,14.6,36274,33727,43,32.4,7698,,,3027,18,449,38,10.4,54,30.1,82,29.5,20,67.7,86,17.8,7,,,,,,,,,,,,,,,,,,48,36.6
Western Illinois University,Macomb,Illinois,4-year,Public,Masters Colleges and Universities--larger programs,9873,24.4,24.3,68664,90406,67,89.2,9526,970,26,7051,71,2988,38,29.4,67,56.1,71,42.8,66,63.4,18,90.3,96,2010,34.6,3.6,29.7,17.5,57.5,10.4,2.6,9,60.6,5.7,7.5,8,65.8,8.3,1.9,4.9,11,60.9
Wheaton College (Ill.),Wheaton,Illinois,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,2444,24,24.2,126611,99440,81,97.3,2616,1318,92,16432,65,115766,89,74.5,89,86.7,94,21,16,94.5,94,65.4,68,,,,,,,,,,,,,,,,,,50,88.8
Harper College,Palatine,Illinois,2-year,Public,Associates--Public Suburban-serving Single Campus,14830,15.5,14.6,35196,33727,41,37.4,10800,,,4656,72,277,27,9.5,50,24.1,64,21.8,7,78.6,99,25.2,26,,,,,,,,,,,,,,,,,,48,30.6
Ancilla College,Donaldson,Indiana,2-year,Private not-for-profit,Associates--Private Not-for-profit,424,28,28,75406,75406,82,67,236,,,7890,85,16900,68,9,10,10.2,6,66.7,64,50.9,22,41.5,40,,,,,,,,,,,,,,,,,,1,66.3
Anderson University (Ind.),Anderson,Indiana,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,2016,20.1,23.8,67131,85638,39,86.2,2043,1053,49,14113,52,10714,35,45.1,54,56.8,53,33.6,42,73.4,45,89.1,91,,,,,,,,,,,,,,,,,,32,78.4
Ball State University,Muncie,Indiana,4-year,Public,Research Universities--high research activity,16300,20,20.4,65091,73383,63,92.8,16423,1053,62,8528,86,8466,74,35.1,76,59.7,76,34.6,37,78.4,66,82,88,,,,,,,,,,,,,,,,,,15,83.6
Bethel College (Ind.),Mishawaka,Indiana,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,1655,31.4,23.8,41816,85638,13,78.7,1612,1047,47,11839,38,5294,18,46.9,57,65.5,71,51.7,79,84.1,75,47.1,43,,,,,,,,,,,,,,,,,,32,88.6
Butler University,Indianapolis,Indiana,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs,4051,19.7,23.8,123428,85638,80,98.1,3920,1212,85,17880,72,37146,70,50.9,63,73.9,82,17.4,10,91.1,89,65.8,69,,,,,,,,,,,,,,,,,,32,90.6
Calumet College of Saint Joseph,Whiting,Indiana,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs,988,34.9,23.8,43454,85638,14,58.7,625,855,3,7724,19,5459,18,18.2,11,27.3,7,40.6,57,61.7,17,24.6,12,,,,,,,,,,,,,,,,,,32,22
College of Court Reporting,Hobart,Indiana,2-year,Private for-profit,Associates--Private For-profit,265,7.1,40.4,111091,30280,97,31.3,221,,,1910,2,,,0,0,8,0,38.7,9,72.7,65,0,0,,,,,,,,,,,,,,,,,,5,61
DePauw University,Greencastle,Indiana,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,2304,22.6,23.8,141829,85638,85,99,2360,1215,85,24029,88,232634,94,74.2,89,79.2,87,18.8,12,92.2,90,84.9,87,,,,,,,,,,,,,,,,,,32,100
Earlham College and Earlham School of Religion,Richmond,Indiana,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,1064,22.7,23.8,171687,85638,91,98.2,1076,1262,89,30097,95,305019,96,59,75,71,79,25.8,25,87.8,83,94.4,94,,,,,,,,,,,,,,,,,,32,100
University of Evansville,Evansville,Indiana,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs,2477,20.3,23.8,82765,85638,53,92.5,2621,1147,76,21164,83,43352,74,52.8,66,63.3,67,25.6,24,85.7,78,64.7,67,,,,,,,,,,,,,,,,,,32,92
Franklin College of Indiana,Franklin,Indiana,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,1014,23.7,23.8,110408,85638,74,93.9,1061,1010,32,16209,63,77521,84,53.1,67,57.1,54,40.2,57,72.8,43,71.8,76,,,,,,,,,,,,,,,,,,32,82.7
Goshen College,Goshen,Indiana,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,828,25.4,23.8,71821,85638,44,90,884,1123,71,16114,63,112373,88,54.5,69,70.3,78,29.6,32,76.8,55,75.8,80,,,,,,,,,,,,,,,,,,32,68
Grace College and Seminary,Winona Lake,Indiana,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,1615,27.5,23.8,58515,85638,30,78.9,1429,1050,48,14106,52,5365,18,54.1,69,60.5,61,34.4,43,76.7,54,50.5,47,,,,,,,,,,,,,,,,,,32,87.9
Hanover College,Hanover,Indiana,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,1163,19.5,23.8,132493,85638,84,99.6,1131,1130,72,20839,82,120946,90,68.4,85,71.9,80,34.8,44,80.9,66,92.4,93,,,,,,,,,,,,,,,,,,32,96.7
Holy Cross College,Notre Dame,Indiana,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,524,16.1,23.8,118426,85638,78,94.7,441,1014,33,20883,82,1504,5,42,49,44.9,31,33.3,40,64.7,22,45.5,40,,,,,,,,,,,,,,,,,,32,85.9
Huntington University,Huntington,Indiana,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,1053,22,23.8,77734,85638,50,91.2,1101,1054,50,13307,47,19571,53,56.6,72,62.3,65,34.6,44,79.4,62,39.7,31,,,,,,,,,,,,,,,,,,32,76.1
Ivy Tech Community College-Central Indiana,Indianapolis,Indiana,2-year,Public,Associates--Public Urban-serving Single Campus,98778,17.1,17.1,27812,27812,22,34.6,71493,,,4268,60,13,2,2.5,7,8.8,7,54.9,80,49,16,22.5,17,,,,,,,,,,,,,,,,,,1,36.3
Indiana University-Purdue University at Fort Wayne,Fort Wayne,Indiana,4-year,Public,Masters Colleges and Universities--larger programs,12928,16.7,20.4,56989,73383,48,57.4,9684,996,37,5472,37,4586,54,5.9,5,24.5,8,36.7,45,67.2,26,43.1,18,2011,7.2,8.2,31.1,18.2,25.6,14.6,10.9,12.4,28.8,11.8,17.7,12.4,35.9,15.8,7.3,11.5,15,57.3
Indiana University-Purdue University at Indianapolis,Indianapolis,Indiana,4-year,Public,Research Universities--high research activity,22409,22.8,20.4,102349,73383,89,74.8,18906,1013,45,7669,80,26169,93,15.1,30,41.8,38,36.6,44,71.9,44,70.5,67,,,,,,,,,,,,,,,,,,15,93
Harrison College at Indianapolis Downtown,Indianapolis,Indiana,4-year,Private for-profit,Baccalaureate/Associates Colleges,3726,23.7,26.7,56395,48576,66,64.3,4244,,,6001,89,,,,,,,79.7,85,33.3,8,14,36,,,,,,,,,,,,,,,,,,13,36
University of Indianapolis,Indianapolis,Indiana,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,4162,19.6,23.8,68720,85638,41,76.1,3801,1018,35,12064,40,16089,47,44.6,53,56.8,53,37.3,50,73.7,46,41.2,33,,,,,,,,,,,,,,,,,,32,77
Indiana Institute of Technology,Fort Wayne,Indiana,4-year,Private not-for-profit,Schools of business and management,5717,21.3,23.8,33548,85638,8,64.9,3993,934,12,8961,24,16887,49,19.5,13,34.8,14,62.4,88,54.8,10,18.6,7,,,,,,,,,,,,,,,,,,32,38.5
University of Southern Indiana,Evansville,Indiana,4-year,Public,Masters Colleges and Universities--larger programs,8913,18.1,20.4,43190,73383,18,82.7,8925,1004,39,9369,92,3890,47,14.6,27,36.7,27,32.3,31,68.8,33,50.2,29,2010,13.9,5.5,27.4,21.4,31.8,13.2,6.2,12.1,39.1,9.1,11.5,15,45.5,13.8,3.8,7.7,15,75.9
Indiana State University,Terre Haute,Indiana,4-year,Public,Doctoral/Research Universities,10268,16.4,20.4,66473,73383,64,88.9,9490,910,10,7417,76,3542,44,22.2,51,41.8,38,43.4,67,63.5,18,69.1,63,2010,23.1,6.8,36.1,19.6,48.1,12.9,10.1,13.7,50.1,9.4,21.8,9.8,60.6,13.1,7.4,7.2,15,98.5
Indiana University at Kokomo,Kokomo,Indiana,4-year,Public,Baccalaureate Colleges--Diverse Fields,3981,19.8,20.4,49994,73383,31,50.5,2378,950,19,4837,22,2357,31,7.2,7,27.9,13,31.9,29,60.9,13,48,24,2010,4.5,9.1,23.5,24.9,21.2,17.8,8.5,12.5,20.9,29.8,24.1,17.8,24.1,30.9,11,12.6,15,87.6
Indiana University at South Bend,South Bend,Indiana,4-year,Public,Masters Colleges and Universities--medium programs,7512,15.7,20.4,56068,73383,46,53,5191,962,23,5750,42,1979,25,5.6,4,25.9,10,33.7,35,63.5,18,56,38,,,,,,,,,,,,,,,,,,15,82.5
Indiana University at Bloomington,Bloomington,Indiana,4-year,Public,Research Universities--very high research activity,36862,23.1,20.4,74172,73383,74,84.2,32087,1198,90,10361,94,20689,91,58.3,94,77,94,19.4,5,89.8,92,86.6,94,,,,,,,,,,,,,,,,,,15,99.8
Indiana University-Northwest,Gary,Indiana,4-year,Public,Masters Colleges and Universities--medium programs,5904,15.7,20.4,53831,73383,41,54.6,4034,918,12,6082,50,1924,25,7.5,7,24.3,8,34.7,38,67.9,30,44.7,18,,,,,,,,,,,,,,,,,,15,77.3
Indiana University-Southeast,New Albany,Indiana,4-year,Public,Masters Colleges and Universities--larger programs,6148,18.9,20.4,41458,73383,16,59.6,4669,950,19,5520,38,2762,36,9,12,30.3,16,34.4,37,60.8,13,40.6,16,,,,,,,,,,,,,,,,,,15,89.1
Indiana University East,Richmond,Indiana,4-year,Public,Baccalaureate Colleges--Diverse Fields,4326,18,20.4,39193,73383,14,45,2754,943,17,5307,33,1832,23,9.1,13,23.9,7,36.1,43,67.5,28,35.7,10,,,,,,,,,,,,,,,,,,15,81.5
International Business College at Fort Wayne,Fort Wayne,Indiana,4-year,Private for-profit,Baccalaureate/Associates Colleges,406,57.2,26.7,16776,48576,8,100,432,,,4737,64,,,77.1,95,77.1,94,64.7,38,100,91,65.2,94,,,,,,,,,,,,,,,,,,13,89.9
International Business College at Indianapolis,Indianapolis,Indiana,2-year,Private for-profit,Associates--Private For-profit,399,46.6,40.4,20182,30280,41,100,385,,,5289,79,,,76.3,92,76.3,83,63.9,36,66.3,45,50,63,,,,,,,,,,,,,,,,,,5,83.3
"ITT Technical Institute (Nashville, Tenn.)",Nashville,Tennessee,4-year,Private for-profit,Other technology-related schools,525,38.5,22.4,37072,61375,37,72.6,557,,,3840,23,,,14.8,36,14.8,20,68.7,49,,,14.9,40,,,,,,,,,,,,,,,,,,16,69.9
"ITT Technical Institute (Fort Wayne, Ind.)",Fort Wayne,Indiana,4-year,Private for-profit,Other technology-related schools,283,39,26.7,33169,48576,28,69.3,332,,,4195,42,,,7.1,13,35.7,72,68.2,48,,,17.6,48,,,,,,,,,,,,,,,,,,13,62.2
"ITT Technical Institute (Indianapolis, Ind.)",Indianapolis,Indiana,4-year,Private for-profit,Masters Colleges and Universities--smaller programs,4296,19.1,26.7,56312,48576,66,55.3,4652,,,3161,5,,,6.2,11,9.2,8,69.8,53,40,20,2.5,1,,,,,,,,,,,,,,,,,,13,41.4
Brown Mackie College-Merrillville,Merrillville,Indiana,4-year,Private for-profit,Associates--Private For-profit 4-year Primarily Associates,619,38.7,26.7,42207,48576,47,100,590,,,4259,45,,,0,0,0,0,81.7,90,0,0,20.6,55,,,,,,,,,,,,,,,,,,13,50
Brown Mackie College-Michigan City,Michigan City,Indiana,4-year,Private for-profit,Associates--Private For-profit 4-year Primarily Associates,290,34.6,26.7,39608,48576,42,100,324,,,4460,54,,,0,0,0,0,79.9,86,,,16.7,46,,,,,,,,,,,,,,,,,,13,100
"Lincoln Technical Institute (Indianapolis, Ind.)",Indianapolis,Indiana,2-year,Private for-profit,Associates--Private For-profit,1240,52.2,40.4,16502,30280,31,100,1245,,,4275,49,,,31.1,38,48.7,27,61.9,33,68.4,52,79.2,88,,,,,,,,,,,,,,,,,,5,
Manchester College,North Manchester,Indiana,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,1199,17.3,23.8,115055,85638,76,98.6,1334,1017,34,18935,74,33329,67,39.9,45,48.1,37,35.8,47,68.8,32,76.3,80,,,,,,,,,,,,,,,,,,32,95.8
Marian University (Ind.),Indianapolis,Indiana,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,2203,22.1,23.8,70047,85638,42,76.2,2210,1024,37,16549,65,11964,39,28.5,26,52.4,45,31.1,36,70.4,36,48.4,45,,,,,,,,,,,,,,,,,,32,45.2
Indiana Wesleyan University,Marion,Indiana,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,10766,34.9,23.8,25378,85638,4,89,9898,1083,59,8537,22,7844,26,55.4,71,70.7,78,39,54,77.8,57,21,9,,,,,,,,,,,,,,,,,,32,49.3
Martin University,Indianapolis,Indiana,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,452,10.5,23.8,141896,85638,86,42.5,395,,,11567,36,,,8.8,4,11.8,2,77.9,95,25.9,1,93.8,93,,,,,,,,,,,,,,,,,,32,44.8
Brown Mackie College-South Bend,South Bend,Indiana,4-year,Private for-profit,Associates--Private For-profit 4-year Primarily Associates,423,42.4,26.7,35902,48576,35,100,539,,,4120,37,,,25,60,50,86,79.3,84,,,22.9,61,,,,,,,,,,,,,,,,,,13,100
University of Notre Dame,Notre Dame,Indiana,4-year,Private not-for-profit,Research Universities--very high research activity,8477,23.5,23.8,177348,85638,91,99.8,9280,1450,98,29753,95,545295,98,89.8,99,94.9,99,11.8,2,98.6,99,88.2,90,,,,,,,,,,,,,,,,,,32,92.5
Oakland City University,Oakland City,Indiana,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs,2311,22.9,23.8,71959,85638,44,19.9,1214,988,25,14214,53,3256,11,40.6,46,52.9,45,12.6,3,79,61,77.5,81,,,,,,,,,,,,,,,,,,32,46.2
Purdue University-Calumet,Hammond,Indiana,4-year,Public,Masters Colleges and Universities--larger programs,8390,18.2,20.4,44358,73383,20,57.6,6568,,,5414,36,1898,24,9.1,13,29.7,15,32.6,32,68.8,33,55.3,36,2010,6.2,4.6,35.7,16.2,25.8,9.7,13.3,11.3,25.1,9.2,19.3,12.5,32.5,10.8,7.5,12,15,49.2
Purdue University North Central,Westville,Indiana,4-year,Public,Baccalaureate Colleges--Diverse Fields,6054,16,20.4,52792,73383,38,45.1,3629,954,21,5106,28,973,10,7.5,7,22.4,7,27.8,20,61,14,42.9,18,2010,4.5,7,23.1,23.1,17.1,17.2,7,14.7,26,8.1,17.1,19.5,34.1,16.3,6.5,10.6,15,53.4
Rose-Hulman Institute of Technology,Terre Haute,Indiana,4-year,Private not-for-profit,Schools of engineering,2205,20.5,23.8,165421,85638,90,99.1,2058,1310,92,19053,75,83996,85,66.3,83,72.8,81,18.4,11,91.2,89,90.2,91,,,,,,,,,,,,,,,,,,32,97.5
University of Saint Francis (Ind.),Fort Wayne,Indiana,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs,1980,23.6,23.8,63970,85638,35,81.6,1762,981,23,11724,38,8224,27,32.6,34,51.5,43,42.2,61,69.9,34,47.1,43,,,,,,,,,,,,,,,,,,32,62.5
Saint Joseph's College (Ind.),Rensselaer,Indiana,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,1141,19.4,23.8,88995,85638,60,90.8,1130,998,28,21020,82,21160,55,35.7,39,43.7,28,29.6,32,71.9,41,66.3,70,,,,,,,,,,,,,,,,,,32,74.9
Saint Mary-of-the-Woods College,Saint Mary of the Woods,Indiana,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,649,23.8,23.8,60067,85638,31,59.2,615,895,6,12201,40,15698,47,49.4,61,60.5,61,50.7,78,76.8,55,33.3,22,,,,,,,,,,,,,,,,,,32,21.8
